theta,rho,beta_min,n,p,k,sigma,lambda_factor,average_mse,average_tpr,average_fdp,exact_support_recovery_rate,unsigned_support_recovery_rate,lambda_used,n_reps
51.332958308713664,0.3,0.5,1410,1000,40,1.0,1.0,0.0017745246911004822,1.0,0.0009512195121951225,0.961,0.961,0.19797206306216575,1000
52.425148911026724,0.3,0.5,1440,1000,40,1.0,1.0,0.001744844498947726,1.0,0.0008292682926829272,0.966,0.966,0.1958990000397333,1000
13.106287227756681,0.3,1.0,90,1000,40,1.0,1.0,0.03757635179311186,0.2549249999999998,0.7405667201115045,0.0,0.0,0.7835960001589332,1000
17.475049637008908,0.3,1.0,120,1000,40,1.0,1.0,0.034130195468973556,0.3895499999999998,0.6774437973827054,0.0,0.0,0.6786140424415111,1000
53.51733951333978,0.3,0.5,1470,1000,40,1.0,1.0,0.0016928404503904371,1.0,0.0006585365853658539,0.973,0.973,0.19388972641186034,1000
17.475049637008908,0.3,1.0,120,1000,40,1.0,1.0,0.034203939809914236,0.38650000000000007,0.6788459622973717,0.0,0.0,0.6786140424415111,1000
17.475049637008908,0.3,1.0,120,1000,40,1.0,1.0,0.03419900006979689,0.38855000000000006,0.6797824371081499,0.0,0.0,0.6786140424415111,1000
21.843812046261135,0.3,1.0,150,1000,40,1.0,1.0,0.030412446614900016,0.5279500000000003,0.6155534187172611,0.0,0.0,0.6069708517540585,1000
55.70172071796589,0.3,0.5,1530,1000,40,1.0,1.0,0.001627433345050129,1.0,0.0009012775842044138,0.964,0.964,0.19004994567451733,1000
21.843812046261135,0.3,1.0,150,1000,40,1.0,1.0,0.03053652663229111,0.5256749999999994,0.6190828909517528,0.0,0.0,0.6069708517540585,1000
21.843812046261135,0.3,1.0,150,1000,40,1.0,1.0,0.03045349110766882,0.5283750000000005,0.6152595372289075,0.0,0.0,0.6069708517540585,1000
26.212574455513362,0.3,1.0,180,1000,40,1.0,1.0,0.026835086538781614,0.6577000000000011,0.5559191230500449,0.0,0.0,0.5540860454230366,1000
56.79391132027895,0.3,0.5,1560,1000,40,1.0,1.0,0.001595879097048119,1.0,0.0007549361207897797,0.97,0.97,0.1882136712517511,1000
26.212574455513362,0.3,1.0,180,1000,40,1.0,1.0,0.026728995216212748,0.6637499999999997,0.5539849128938613,0.0,0.0,0.5540860454230366,1000
30.58133686476559,0.3,1.0,210,1000,40,1.0,1.0,0.02290792006199051,0.7824499999999992,0.48772590535756805,0.0,0.0,0.5129839978561342,1000
