replication,mse,tpr,fdp,exact_support_recovery,lambda_used
1,367.72212992720176,0.7,0.05405405405405406,False,0.16394640956741696
2,343.7097486445117,0.7,0.05405405405405406,False,0.16394640956741696
3,374.04206002036074,0.56,0.0,False,0.16394640956741696
4,390.21446687652644,0.62,0.0,False,0.16394640956741696
5,379.2316476172195,0.66,0.0,False,0.16394640956741696
6,346.0812176992324,0.72,0.0,False,0.16394640956741696
7,354.75965762133984,0.68,0.05555555555555555,False,0.16394640956741696
8,339.4588565578233,0.72,0.02702702702702703,False,0.16394640956741696
9,377.4755163104788,0.52,0.0,False,0.16394640956741696
10,378.12402454912205,0.6,0.0,False,0.16394640956741696
11,360.1321929299636,0.72,0.02702702702702703,False,0.16394640956741696
12,341.27379100447416,0.74,0.05128205128205128,False,0.16394640956741696
13,384.4515535998661,0.66,0.029411764705882353,False,0.16394640956741696
14,356.37481035565594,0.66,0.029411764705882353,False,0.16394640956741696
15,359.0928625397291,0.74,0.0,False,0.16394640956741696
16,361.4398967805643,0.68,0.0,False,0.16394640956741696
17,404.75003684110527,0.5,0.0,False,0.16394640956741696
18,354.99593384389726,0.72,0.0,False,0.16394640956741696
19,350.62089829018186,0.76,0.0,False,0.16394640956741696
20,366.3193861400719,0.7,0.027777777777777776,False,0.16394640956741696
21,333.06021057029125,0.7,0.0,False,0.16394640956741696
22,372.09814228271216,0.66,0.029411764705882353,False,0.16394640956741696
23,367.6018678466701,0.64,0.0,False,0.16394640956741696
24,401.7838437900849,0.48,0.07692307692307693,False,0.16394640956741696
25,389.55082377846816,0.48,0.0,False,0.16394640956741696
26,356.23585193075115,0.7,0.027777777777777776,False,0.16394640956741696
27,332.66642207576143,0.78,0.025,False,0.16394640956741696
28,380.9091468310113,0.66,0.0,False,0.16394640956741696
29,352.6914446119642,0.7,0.0,False,0.16394640956741696
30,346.18742696808323,0.7,0.027777777777777776,False,0.16394640956741696
31,368.0237115086472,0.66,0.0,False,0.16394640956741696
32,355.98950999113146,0.72,0.0,False,0.16394640956741696
33,389.40058682449,0.54,0.06896551724137931,False,0.16394640956741696
34,380.92812116969634,0.62,0.0,False,0.16394640956741696
35,355.2973564561976,0.66,0.0,False,0.16394640956741696
36,331.82902051187443,0.72,0.0,False,0.16394640956741696
37,380.063847359394,0.64,0.058823529411764705,False,0.16394640956741696
38,367.933329929637,0.64,0.030303030303030304,False,0.16394640956741696
39,362.2317769261595,0.66,0.0,False,0.16394640956741696
40,332.00172208959884,0.76,0.0,False,0.16394640956741696
41,309.4558317921072,0.82,0.046511627906976744,False,0.16394640956741696
42,388.4699164690948,0.62,0.03125,False,0.16394640956741696
43,375.8558017529809,0.58,0.03333333333333333,False,0.16394640956741696
44,352.5758810035328,0.66,0.0,False,0.16394640956741696
45,380.89549671992285,0.58,0.0,False,0.16394640956741696
46,352.00908127234055,0.7,0.0,False,0.16394640956741696
47,386.4321728712224,0.62,0.08823529411764706,False,0.16394640956741696
48,349.65536827273604,0.7,0.0,False,0.16394640956741696
49,366.6822354288679,0.64,0.0,False,0.16394640956741696
50,367.55867224282974,0.66,0.05714285714285714,False,0.16394640956741696
51,398.90114986905746,0.54,0.0,False,0.16394640956741696
52,374.1521883585536,0.68,0.0,False,0.16394640956741696
53,348.5762895334201,0.76,0.0,False,0.16394640956741696
54,410.47461042156027,0.52,0.037037037037037035,False,0.16394640956741696
55,369.23900714352607,0.64,0.0,False,0.16394640956741696
56,360.33658806370687,0.74,0.075,False,0.16394640956741696
57,363.9052357759534,0.72,0.0,False,0.16394640956741696
58,351.063008639583,0.58,0.0,False,0.16394640956741696
59,394.0013017716494,0.52,0.0,False,0.16394640956741696
60,381.3269765368675,0.64,0.058823529411764705,False,0.16394640956741696
61,401.4469600379619,0.58,0.03333333333333333,False,0.16394640956741696
62,365.90779307672426,0.6,0.0,False,0.16394640956741696
63,343.4722496186798,0.68,0.0,False,0.16394640956741696
64,381.44863206601275,0.58,0.0,False,0.16394640956741696
65,347.969718282231,0.7,0.0,False,0.16394640956741696
66,380.9123722808645,0.62,0.03125,False,0.16394640956741696
67,360.6982559789696,0.64,0.0,False,0.16394640956741696
68,370.96283431590945,0.58,0.0,False,0.16394640956741696
69,355.2581003127472,0.68,0.0,False,0.16394640956741696
70,378.2481553155935,0.56,0.0,False,0.16394640956741696
71,366.2119913214181,0.72,0.0,False,0.16394640956741696
72,342.59140835462233,0.76,0.05,False,0.16394640956741696
73,368.8065852005965,0.6,0.03225806451612903,False,0.16394640956741696
74,360.0691321929011,0.62,0.0,False,0.16394640956741696
75,368.1155453981797,0.76,0.0,False,0.16394640956741696
76,336.81621143740824,0.82,0.023809523809523808,False,0.16394640956741696
77,368.5140161170073,0.72,0.02702702702702703,False,0.16394640956741696
78,362.0496192462931,0.7,0.0,False,0.16394640956741696
79,352.20305288220277,0.66,0.0,False,0.16394640956741696
80,307.9285685822999,0.82,0.0,False,0.16394640956741696
81,324.8165294549119,0.8,0.0,False,0.16394640956741696
82,312.3886741637375,0.78,0.0,False,0.16394640956741696
83,391.2473157235707,0.6,0.03225806451612903,False,0.16394640956741696
84,402.3434019862694,0.54,0.0,False,0.16394640956741696
85,381.270176509512,0.66,0.0,False,0.16394640956741696
86,393.0747075392979,0.56,0.034482758620689655,False,0.16394640956741696
87,365.10955929696456,0.62,0.08823529411764706,False,0.16394640956741696
88,403.8183107104537,0.58,0.0,False,0.16394640956741696
89,436.6951165782796,0.38,0.05,False,0.16394640956741696
90,366.48622888619195,0.6,0.09090909090909091,False,0.16394640956741696
91,398.4009647950605,0.52,0.07142857142857142,False,0.16394640956741696
92,362.3595130307509,0.66,0.05714285714285714,False,0.16394640956741696
93,374.8139162036351,0.58,0.06451612903225806,False,0.16394640956741696
94,344.0536143219807,0.76,0.0,False,0.16394640956741696
95,360.13809594760085,0.64,0.08571428571428572,False,0.16394640956741696
96,397.90052408348475,0.56,0.034482758620689655,False,0.16394640956741696
97,346.64997638606775,0.78,0.0,False,0.16394640956741696
98,357.74614474190724,0.7,0.027777777777777776,False,0.16394640956741696
99,377.7368026179946,0.68,0.0,False,0.16394640956741696
100,370.32878062294986,0.64,0.030303030303030304,False,0.16394640956741696
101,364.15432632917606,0.66,0.0,False,0.16394640956741696
102,347.91253654611666,0.7,0.0,False,0.16394640956741696
103,376.9614370392129,0.58,0.03333333333333333,False,0.16394640956741696
104,304.1183443454355,0.8,0.0,False,0.16394640956741696
105,388.269343779425,0.54,0.0,False,0.16394640956741696
106,372.46508851569683,0.6,0.0,False,0.16394640956741696
107,362.3399179562629,0.62,0.0,False,0.16394640956741696
108,389.2318107359173,0.66,0.029411764705882353,False,0.16394640956741696
109,363.20373071271285,0.58,0.0,False,0.16394640956741696
110,382.9372205447155,0.62,0.03125,False,0.16394640956741696
111,411.06204112383506,0.46,0.041666666666666664,False,0.16394640956741696
112,401.0407808936559,0.6,0.0,False,0.16394640956741696
113,407.8299607599992,0.6,0.0,False,0.16394640956741696
114,382.8190700240113,0.58,0.06451612903225806,False,0.16394640956741696
115,373.56110046338284,0.6,0.0,False,0.16394640956741696
116,388.02339679791214,0.54,0.06896551724137931,False,0.16394640956741696
117,363.33640542648953,0.72,0.07692307692307693,False,0.16394640956741696
118,371.46887169800397,0.6,0.0,False,0.16394640956741696
119,331.7864250650518,0.76,0.0,False,0.16394640956741696
120,402.20656871231864,0.6,0.0,False,0.16394640956741696
121,368.16341847878954,0.72,0.0,False,0.16394640956741696
122,333.59028176466626,0.78,0.0,False,0.16394640956741696
123,361.7306972277515,0.62,0.06060606060606061,False,0.16394640956741696
124,355.62404497947904,0.68,0.0,False,0.16394640956741696
125,363.6459751684449,0.74,0.0,False,0.16394640956741696
126,346.4616236750499,0.7,0.027777777777777776,False,0.16394640956741696
127,385.4331560368177,0.68,0.05555555555555555,False,0.16394640956741696
128,352.1241326406128,0.74,0.05128205128205128,False,0.16394640956741696
129,366.97939377064176,0.64,0.0,False,0.16394640956741696
130,389.28659089623534,0.52,0.0,False,0.16394640956741696
131,364.13979739310037,0.66,0.0,False,0.16394640956741696
132,381.52602204805845,0.6,0.0,False,0.16394640956741696
133,364.8289043726169,0.6,0.0,False,0.16394640956741696
134,313.8129710802855,0.84,0.0,False,0.16394640956741696
135,387.3885208623564,0.56,0.0,False,0.16394640956741696
136,348.8424268363571,0.72,0.02702702702702703,False,0.16394640956741696
137,383.0560430662183,0.56,0.0,False,0.16394640956741696
138,401.53532322672805,0.58,0.0,False,0.16394640956741696
139,369.16401592452564,0.6,0.0625,False,0.16394640956741696
140,395.7768898544518,0.5,0.038461538461538464,False,0.16394640956741696
141,352.1319829603207,0.74,0.02631578947368421,False,0.16394640956741696
142,395.3479564290125,0.68,0.02857142857142857,False,0.16394640956741696
143,359.53822053359204,0.68,0.02857142857142857,False,0.16394640956741696
144,382.26013264336217,0.6,0.0,False,0.16394640956741696
145,401.1119592608982,0.62,0.0,False,0.16394640956741696
