replication,mse,tpr,fdp,exact_support_recovery,lambda_used
1,421.52326615997146,0.38,0.24,False,0.12696764331132948
2,462.9505581184756,0.28,0.46153846153846156,False,0.12696764331132948
3,438.6544236831339,0.28,0.36363636363636365,False,0.12696764331132948
4,397.2628729059815,0.42,0.38235294117647056,False,0.12696764331132948
5,456.8941425453418,0.3,0.375,False,0.12696764331132948
6,433.49968966153824,0.28,0.2222222222222222,False,0.12696764331132948
7,438.393185433406,0.34,0.34615384615384615,False,0.12696764331132948
8,447.9174301422358,0.28,0.5172413793103449,False,0.12696764331132948
9,440.804604471616,0.32,0.30434782608695654,False,0.12696764331132948
10,429.0980849277527,0.32,0.23809523809523808,False,0.12696764331132948
11,447.30214210499474,0.3,0.4,False,0.12696764331132948
12,359.14239627257757,0.54,0.34146341463414637,False,0.12696764331132948
13,433.1528320251412,0.36,0.3793103448275862,False,0.12696764331132948
14,445.7839233840803,0.28,0.36363636363636365,False,0.12696764331132948
15,445.7006715255314,0.32,0.3333333333333333,False,0.12696764331132948
16,479.906570446144,0.14,0.4166666666666667,False,0.12696764331132948
17,413.0371730781418,0.4,0.375,False,0.12696764331132948
18,457.20233620386017,0.22,0.3125,False,0.12696764331132948
19,462.31907152713393,0.34,0.22727272727272727,False,0.12696764331132948
20,479.9358661451447,0.1,0.5833333333333334,False,0.12696764331132948
21,474.80090435509857,0.14,0.125,False,0.12696764331132948
22,460.1424286893037,0.2,0.47368421052631576,False,0.12696764331132948
23,436.36883604100194,0.3,0.4827586206896552,False,0.12696764331132948
24,448.7024768828936,0.38,0.45714285714285713,False,0.12696764331132948
25,451.6087609178578,0.22,0.21428571428571427,False,0.12696764331132948
26,449.5350998690954,0.28,0.36363636363636365,False,0.12696764331132948
27,427.04659746804043,0.36,0.14285714285714285,False,0.12696764331132948
28,417.0399629968023,0.4,0.47368421052631576,False,0.12696764331132948
29,438.39554288699793,0.3,0.25,False,0.12696764331132948
30,403.7014700222323,0.38,0.3448275862068966,False,0.12696764331132948
31,442.4358340675203,0.32,0.4482758620689655,False,0.12696764331132948
32,402.05337082599516,0.44,0.3333333333333333,False,0.12696764331132948
33,453.1539339255786,0.38,0.4411764705882353,False,0.12696764331132948
34,452.62873286763073,0.24,0.5384615384615384,False,0.12696764331132948
35,469.09588301846185,0.22,0.5,False,0.12696764331132948
36,464.23598227002526,0.2,0.47368421052631576,False,0.12696764331132948
37,455.2862941445034,0.24,0.3333333333333333,False,0.12696764331132948
38,464.2878065619529,0.18,0.5,False,0.12696764331132948
39,422.32373812073143,0.32,0.38461538461538464,False,0.12696764331132948
40,444.5713723576113,0.22,0.45,False,0.12696764331132948
41,448.35716588200927,0.3,0.21052631578947367,False,0.12696764331132948
42,471.1253791572927,0.24,0.52,False,0.12696764331132948
43,463.34782265799964,0.14,0.5625,False,0.12696764331132948
44,442.1376995867799,0.3,0.25,False,0.12696764331132948
45,472.0945375203694,0.12,0.5,False,0.12696764331132948
46,443.63958238583433,0.18,0.4,False,0.12696764331132948
47,451.2703021527999,0.24,0.42857142857142855,False,0.12696764331132948
48,440.0792432843488,0.3,0.4230769230769231,False,0.12696764331132948
49,456.31231414934086,0.32,0.5428571428571428,False,0.12696764331132948
50,428.04184115453415,0.38,0.3448275862068966,False,0.12696764331132948
51,468.1422465373485,0.22,0.42105263157894735,False,0.12696764331132948
52,444.3740500404456,0.3,0.375,False,0.12696764331132948
53,468.7217404653883,0.22,0.5416666666666666,False,0.12696764331132948
54,433.56170327427236,0.38,0.36666666666666664,False,0.12696764331132948
55,449.90500363576757,0.26,0.38095238095238093,False,0.12696764331132948
56,416.18169017752865,0.38,0.40625,False,0.12696764331132948
57,449.31586380492024,0.3,0.4230769230769231,False,0.12696764331132948
58,411.9315661795552,0.42,0.4166666666666667,False,0.12696764331132948
59,458.4649563108636,0.22,0.3888888888888889,False,0.12696764331132948
60,437.6453372651812,0.32,0.23809523809523808,False,0.12696764331132948
61,444.6170080063908,0.3,0.4230769230769231,False,0.12696764331132948
62,470.4137202534835,0.2,0.375,False,0.12696764331132948
63,489.2854100649533,0.1,0.2857142857142857,False,0.12696764331132948
64,433.58728852865136,0.32,0.30434782608695654,False,0.12696764331132948
65,454.6943139079157,0.22,0.3125,False,0.12696764331132948
66,458.6089571333273,0.22,0.47619047619047616,False,0.12696764331132948
67,436.8795901452623,0.28,0.2631578947368421,False,0.12696764331132948
68,462.7790532706112,0.34,0.34615384615384615,False,0.12696764331132948
69,442.3637594071653,0.3,0.21052631578947367,False,0.12696764331132948
70,422.67776432721536,0.44,0.26666666666666666,False,0.12696764331132948
71,404.57838596100373,0.36,0.35714285714285715,False,0.12696764331132948
72,447.7796911395909,0.36,0.35714285714285715,False,0.12696764331132948
73,407.72611246215496,0.48,0.38461538461538464,False,0.12696764331132948
74,417.80245059381343,0.4,0.3548387096774194,False,0.12696764331132948
75,463.22373413436765,0.28,0.4166666666666667,False,0.12696764331132948
76,449.2250605571252,0.24,0.42857142857142855,False,0.12696764331132948
77,435.1137229917676,0.24,0.25,False,0.12696764331132948
78,459.6696510373807,0.24,0.5384615384615384,False,0.12696764331132948
79,457.167295636127,0.28,0.2222222222222222,False,0.12696764331132948
80,460.7736779989574,0.2,0.16666666666666666,False,0.12696764331132948
81,474.73963846187706,0.2,0.4117647058823529,False,0.12696764331132948
82,467.9468130158576,0.2,0.23076923076923078,False,0.12696764331132948
83,459.9519205242089,0.24,0.4782608695652174,False,0.12696764331132948
84,448.0480858630176,0.24,0.42857142857142855,False,0.12696764331132948
85,446.6859870514375,0.28,0.2631578947368421,False,0.12696764331132948
86,463.41535073155114,0.24,0.29411764705882354,False,0.12696764331132948
87,463.53707740553233,0.26,0.5357142857142857,False,0.12696764331132948
88,436.83167898966474,0.32,0.36,False,0.12696764331132948
89,431.8388096400598,0.28,0.391304347826087,False,0.12696764331132948
90,435.82953534109754,0.3,0.3181818181818182,False,0.12696764331132948
91,460.68736324285027,0.18,0.5,False,0.12696764331132948
92,430.43716649213314,0.3,0.4444444444444444,False,0.12696764331132948
93,385.9360574702472,0.42,0.34375,False,0.12696764331132948
94,458.6513413666987,0.18,0.47058823529411764,False,0.12696764331132948
95,455.22921915299446,0.28,0.2631578947368421,False,0.12696764331132948
96,432.01017953508494,0.32,0.4838709677419355,False,0.12696764331132948
97,461.45944363511205,0.2,0.2857142857142857,False,0.12696764331132948
98,459.06910289956244,0.22,0.47619047619047616,False,0.12696764331132948
99,445.7934432886365,0.34,0.32,False,0.12696764331132948
100,447.8618999971415,0.28,0.48148148148148145,False,0.12696764331132948
101,445.99008583987944,0.3,0.5833333333333334,False,0.12696764331132948
102,449.1156715261501,0.3,0.4444444444444444,False,0.12696764331132948
103,405.563797816071,0.34,0.39285714285714285,False,0.12696764331132948
104,413.6328602132859,0.38,0.32142857142857145,False,0.12696764331132948
105,415.0084625952947,0.34,0.32,False,0.12696764331132948
106,484.29516948523303,0.16,0.42857142857142855,False,0.12696764331132948
107,427.20318951556726,0.34,0.34615384615384615,False,0.12696764331132948
108,446.5471117448645,0.24,0.45454545454545453,False,0.12696764331132948
109,459.3707368146822,0.2,0.2857142857142857,False,0.12696764331132948
110,438.1602933982826,0.34,0.43333333333333335,False,0.12696764331132948
111,442.5409670171748,0.26,0.3157894736842105,False,0.12696764331132948
112,450.28799724270107,0.26,0.48,False,0.12696764331132948
113,470.6722247481009,0.22,0.5416666666666666,False,0.12696764331132948
114,428.24788152092344,0.36,0.3793103448275862,False,0.12696764331132948
115,443.1856548469969,0.32,0.4074074074074074,False,0.12696764331132948
116,448.61606505634836,0.26,0.3157894736842105,False,0.12696764331132948
117,456.45909219582467,0.26,0.5357142857142857,False,0.12696764331132948
118,457.0278186438156,0.32,0.3333333333333333,False,0.12696764331132948
119,441.37357115951636,0.32,0.5,False,0.12696764331132948
120,448.46634026888444,0.32,0.38461538461538464,False,0.12696764331132948
121,422.926274257165,0.34,0.32,False,0.12696764331132948
122,433.31239614395497,0.26,0.5357142857142857,False,0.12696764331132948
123,465.1987952659098,0.32,0.4838709677419355,False,0.12696764331132948
124,404.5023369297255,0.4,0.375,False,0.12696764331132948
125,468.4970118230337,0.22,0.35294117647058826,False,0.12696764331132948
126,425.78654861719275,0.3,0.34782608695652173,False,0.12696764331132948
127,411.49763847054237,0.34,0.19047619047619047,False,0.12696764331132948
128,468.6373032859347,0.26,0.48,False,0.12696764331132948
129,466.41373327640275,0.2,0.5,False,0.12696764331132948
130,438.34232820847984,0.24,0.5714285714285714,False,0.12696764331132948
131,414.67518477713537,0.4,0.3939393939393939,False,0.12696764331132948
132,435.4297792759981,0.3,0.4230769230769231,False,0.12696764331132948
133,419.2045458230309,0.4,0.3103448275862069,False,0.12696764331132948
134,406.5295520087184,0.38,0.36666666666666664,False,0.12696764331132948
