replication,mse,tpr,fdp,exact_support_recovery,lambda_used
1,499.88147102935676,0.02,0.0,False,0.10038405665982915
2,497.031320931001,0.02,0.0,False,0.10038405665982915
3,500.0,0.0,0.0,False,0.10038405665982915
4,496.77024961863543,0.06,0.0,False,0.10038405665982915
5,500.0,0.0,0.0,False,0.10038405665982915
6,497.98323377849766,0.02,0.0,False,0.10038405665982915
7,499.63646453188005,0.02,0.0,False,0.10038405665982915
8,498.4726505783315,0.04,0.0,False,0.10038405665982915
9,500.0,0.0,0.0,False,0.10038405665982915
10,499.6953392335675,0.02,0.0,False,0.10038405665982915
11,499.8356475389156,0.02,0.0,False,0.10038405665982915
12,498.00156733836957,0.02,0.0,False,0.10038405665982915
13,500.0,0.0,0.0,False,0.10038405665982915
14,500.0,0.0,0.0,False,0.10038405665982915
15,499.77972487439456,0.02,0.0,False,0.10038405665982915
16,500.0,0.0,0.0,False,0.10038405665982915
17,498.11518542246716,0.04,0.0,False,0.10038405665982915
18,500.0,0.0,0.0,False,0.10038405665982915
19,492.4804243007005,0.08,0.0,False,0.10038405665982915
20,500.0,0.0,0.0,False,0.10038405665982915
21,500.0,0.0,0.0,False,0.10038405665982915
22,500.0,0.0,0.0,False,0.10038405665982915
23,500.0,0.0,0.0,False,0.10038405665982915
24,500.0,0.0,0.0,False,0.10038405665982915
25,497.9831803273607,0.04,0.0,False,0.10038405665982915
26,500.0,0.0,0.0,False,0.10038405665982915
27,500.0,0.0,0.0,False,0.10038405665982915
28,500.0,0.0,0.0,False,0.10038405665982915
29,500.0,0.0,0.0,False,0.10038405665982915
30,495.13619057688385,0.02,0.0,False,0.10038405665982915
31,499.6993622530761,0.02,0.0,False,0.10038405665982915
32,498.8194887885387,0.02,0.0,False,0.10038405665982915
33,498.11732058786964,0.06,0.0,False,0.10038405665982915
34,500.0,0.0,0.0,False,0.10038405665982915
35,500.0,0.0,0.0,False,0.10038405665982915
36,494.9281369129087,0.04,0.0,False,0.10038405665982915
37,500.0,0.0,0.0,False,0.10038405665982915
38,496.2830165437442,0.04,0.0,False,0.10038405665982915
39,499.8540653389061,0.02,0.0,False,0.10038405665982915
40,498.6526275485278,0.02,0.0,False,0.10038405665982915
41,498.0182968851291,0.04,0.0,False,0.10038405665982915
42,500.0,0.0,0.0,False,0.10038405665982915
43,495.04325773160775,0.06,0.0,False,0.10038405665982915
44,500.0,0.0,0.0,False,0.10038405665982915
45,500.0,0.0,0.0,False,0.10038405665982915
46,497.47385736343074,0.02,0.0,False,0.10038405665982915
47,500.0,0.0,0.0,False,0.10038405665982915
48,498.3974725242871,0.04,0.0,False,0.10038405665982915
49,500.0,0.0,0.0,False,0.10038405665982915
50,500.0,0.0,0.0,False,0.10038405665982915
51,500.0,0.0,0.0,False,0.10038405665982915
52,499.1943414933226,0.02,0.0,False,0.10038405665982915
53,497.28197145946257,0.02,0.0,False,0.10038405665982915
54,500.0,0.0,0.0,False,0.10038405665982915
55,500.0,0.0,0.0,False,0.10038405665982915
56,498.0585926639533,0.04,0.0,False,0.10038405665982915
57,500.0,0.0,0.0,False,0.10038405665982915
58,499.9951288281763,0.02,0.0,False,0.10038405665982915
